"","level_0","index","series_name","network","season","title","imdb","engagement","date_aired","run_time","format","monster_name","monster_gender","monster_type","monster_subtype","monster_species","monster_real","monster_amount","caught_fred","caught_daphnie","caught_velma","caught_shaggy","caught_scooby","captured_fred","captured_daphnie","captured_velma","captured_shaggy","captured_scooby","unmask_fred","unmask_daphnie","unmask_velma","unmask_shaggy","unmask_scooby","snack_fred","snack_daphnie","snack_velma","snack_shaggy","snack_scooby","unmask_other","caught_other","caught_not","trap_work_first","setting_terrain","setting_country_state","suspects_amount","non_suspect","arrested","culprit_name","culprit_gender","culprit_amount","motive","if_it_wasnt_for","and_that","door_gag","number_of_snacks","split_up","another_mystery","set_a_trap","jeepers","jinkies","my_glasses","just_about_wrapped_up","zoinks","groovy","scooby_doo_where_are_you","rooby_rooby_roo","batman","scooby_dum","scrappy_doo","hex_girls","blue_falcon","fred_va","daphnie_va","velma_va","shaggy_va","scooby_va"
"1",0,1,"Scooby Doo, Where Are You!","CBS","1","What a Night for a Knight",5.6,188.45,"1969-09-13",21,"Serie","Black Knight","Male","Possessed Object","Suit","Object","False",1,"False","False","False","True","True","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","","Urban","United States",2,"False","True","Mr. Wickles","Male",1,"Theft","","","False","2",1,1,0,0,0,1,0,1,0,0,1,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"2",1,2,"Scooby Doo, Where Are You!","CBS","1","A Clue for Scooby Doo",5.8,199.58,"1969-09-20",22,"Serie","Ghost of Cptn. Cuttler","Male","Ghost","Suit","Human","False",1,"False","False","False","True","False","True","True","True","False","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","Coast","United States",2,"True","True","Cptn. Cuttler","Male",1,"Theft","","","False","1",0,0,0,0,0,0,0,3,0,1,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"3",2,3,"Scooby Doo, Where Are You!","CBS","1","Hassle in the Castle",4.3,173.24,"1969-09-27",21,"Serie","Phantom","Male","Ghost","Phantom","Human","False",1,"False","False","False","False","True","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","Island","United States",0,"True","True","Bluestone the Great","Male",1,"Treasure","","","False","3",0,0,0,0,0,0,0,1,2,0,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"4",3,4,"Scooby Doo, Where Are You!","CBS","1","Mine Your Own Business",4.9,178.03,"1969-10-04",21,"Serie","Miner 49'er","Male","Ancient","Miner","Human","False",1,"True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","True","Cave","California",2,"False","True","Hank","Male",1,"Natural Resource","","","False","2",1,0,0,0,0,0,0,2,1,0,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"5",4,5,"Scooby Doo, Where Are You!","CBS","1","Decoy for a Dognapper",3.6,127.86,"1969-10-11",21,"Serie","Indian Witch Doctor","Female","Ancient","Witch Doctor","Human","False",1,"False","False","False","False","True","False","False","False","False","True","False","False","False","False","True","False","True","False","False","False","False","False","False","","Desert","United States",1,"False","True","Buck Master","Male",1,"Competition","","","False","2",0,1,0,0,0,1,0,0,0,1,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"6",5,6,"Scooby Doo, Where Are You!","CBS","1","What the Hex Going On?",4.9,162.79,"1969-10-18",21,"Serie","Ghost of Elias Kingston","Male","Ghost","Phantom","Human","False",1,"True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","True","Urban","United States",2,"False","True","Uncle Stuart","Male",1,"Extortion","","","False","4",0,0,0,1,0,0,0,2,0,0,1,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"7",6,7,"Scooby Doo, Where Are You!","CBS","1","Never Ape an Ape Man",5.7,161.62,"1969-10-25",21,"Serie","Ape Man","Male","Animal","Half-Human","Ape","False",1,"True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","Desert","United States",1,"False","True","Carl","Male",1,"Competition","","","False","4",1,0,1,0,0,0,0,1,1,0,1,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"8",7,8,"Scooby Doo, Where Are You!","CBS","1","Foul Play in Funland",4.4,159.69,"1969-11-01",21,"Serie","Charlie the Robot","Male","Mechanical","Humanoid","Robot","False",1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Urban","United States",2,"False","False","Sarah Jenkins","Female",1,"Safety","","","True","0",0,0,1,0,0,1,0,0,0,1,1,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"9",8,9,"Scooby Doo, Where Are You!","CBS","1","The Backstage Rage",5.8,210.07,"1969-11-08",21,"Serie","Puppet Master","Male","Ghost","Pupeteer","Human","False",1,"False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","","Urban","United States",1,"False","True","Mr. Pietro","Male",1,"Counterfeit","","","False","1",0,0,0,0,0,0,0,0,0,0,1,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"10",9,10,"Scooby Doo, Where Are You!","CBS","1","Bedlam in the Big Top",5.3,196.8,"1969-11-15",21,"Serie","Ghost Clown","Male","Ghost","Clown","Human","False",1,"False","False","False","True","True","False","True","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Forest","United States",1,"True","True","Harry the Hypnotist","Male",1,"Competition","","","False","0",0,0,0,0,0,0,0,0,0,2,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
